epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,219.362,2.70519,0.15569,0.48503,2.54254,6.116e-05,6.116e-05,6.116e-05
2,470.534,2.45628,0.37126,0.76647,2.16993,0.000119967,0.000119967,0.000119967
3,740.549,2.04957,0.55689,0.86826,1.70388,0.000170518,0.000170518,0.000170518
4,933.736,1.59989,0.65868,0.91018,1.17058,0.000212812,0.000212812,0.000212812
5,1131.72,1.14257,0.74251,0.9521,0.84875,0.00024685,0.00024685,0.00024685
6,1332.96,0.91948,0.80838,0.98802,0.62508,0.000272631,0.000272631,0.000272631
7,1544.25,0.70625,0.83832,0.98802,0.49331,0.000290156,0.000290156,0.000290156
8,1763.38,0.52566,0.83234,0.99401,0.44153,0.000299423,0.000299423,0.000299423
9,1991.88,0.41059,0.83832,0.98802,0.42505,0.00028078,0.00028078,0.00028078
10,2196.06,0.32458,0.84431,0.99401,0.40374,0.000246377,0.000246377,0.000246377
11,2480.43,0.29114,0.87425,1,0.35378,0.000211975,0.000211975,0.000211975
12,2704.82,0.24289,0.86826,0.99401,0.31343,0.000177573,0.000177573,0.000177573
13,2902.66,0.20695,0.88024,0.99401,0.36192,0.00014317,0.00014317,0.00014317
14,3098.27,0.16224,0.86826,0.99401,0.33305,0.000108767,0.000108767,0.000108767
15,3290.89,0.17069,0.88623,0.99401,0.30462,7.4365e-05,7.4365e-05,7.4365e-05
16,3482.28,0.19149,0.88623,0.99401,0.31275,3.99625e-05,3.99625e-05,3.99625e-05
